word,list_of_urls
access,"[['https://www.cfcindia.org/wftw/importance-of-unity-in-a-home', 2.620601740281017, 1]]"
preacher,"[['https://www.cfcindia.org/wftw/the-power-of-gods-word', 11.956959424051673, 2], ['https://www.cfcindia.org/wftw/let-christ-be-the-centre-of-your-life', 9.933483020767417, 1], ['https://www.cfcindia.org/wftw/gods-evaluation-of-the-church-in-sardis', 10.15614065673815, 2], ['https://www.cfcindia.org/wftw/the-piercing-word-of-god', 6.634182078054688, 2], ['https://www.cfcindia.org/wftw/the-piercing-word-of-god', 12.144559949261412, 2], ['https://www.cfcindia.org/wftw/the-preachers-whom-i-respect-and-follow', 7.16282646726879, 4], ['https://www.cfcindia.org/wftw/being-a-spokesman-for-god-8', 14.218014373676978, 1], ['https://www.cfcindia.org/wftw/false-teachers-sexual-sin-and-love-of-money', 9.06158633581207, 8], ['https://www.cfcindia.org/wftw/live-and-serve-in-a-christlike-way', 7.1298848298533155, 1], ['https://www.cfcindia.org/wftw/seven-qualities-of-true-servants-of-god', 9.340178086481133, 2], ['https://www.cfcindia.org/wftw/the-glorious-calling-of-women-as-mothers', 9.423609163797503, 1], ['https://www.cfcindia.org/wftw/be-a-servant-always-till-the-end-of-your-earthly-days', 10.537486142541225, 1], ['https://www.cfcindia.org/wftw/three-conditions-for-being-a-spokesman-for-god', 10.524758167345913, 1], ['https://www.cfcindia.org/wftw/the-danger-of-doing-what-is-right-in-your-own-eyes', 8.942608885145614, 3], ['https://www.cfcindia.org/wftw/the-opinion-that-99-of-our-fellowbelievers-have-about-us-can-be-100-wrong', 13.216736616227585, 2], ['https://www.cfcindia.org/wftw/noah-walked-with-god', 10.308672079745918, 1], ['https://www.cfcindia.org/wftw/four-great-lessons', 9.522765089451143, 1], ['https://www.cfcindia.org/wftw/being-a-spokesman-for-god', 13.030739894757748, 1], ['https://www.cfcindia.org/wftw/seven-characteristics-of-a-true-servant-of-god', 9.344335709447735, 3], ['https://www.cfcindia.org/wftw/seven-characteristics-of-a-true-servant-of-god', 11.482815402229352, 3], ['https://www.cfcindia.org/wftw/let-your-life-be-a-good-example-for-others', 11.524449039518219, 1], ['https://www.cfcindia.org/wftw/the-holy-spirit-can-minister-to-all-your-needs', 9.552424763159987, 1], ['https://www.cfcindia.org/wftw/seek-for-more-humility', 9.70566722972496, 1], ['https://www.cfcindia.org/wftw/the-jar-of-oil', 9.678746327759656, 1], ['https://www.cfcindia.org/wftw/not-knowing-ones-wretchedness', 9.528415549241922, 2], ['https://www.cfcindia.org/wftw/not-knowing-ones-wretchedness', 9.079969763102765, 2]]"
sacrifice,"[['https://www.cfcindia.org/wftw/an-adequate-response-to-god', 19.113384024428623, 3], ['https://www.cfcindia.org/wftw/now-i-know-that-you-fear-me-0', 8.33999354617167, 2], ['https://www.cfcindia.org/wftw/god-does-not-want-our-offerings-but-our-body-as-a-living-sacrifice', 13.004088954251316, 5], ['https://www.cfcindia.org/wftw/leadership-qualities-of-nehemiah', 14.224764674518383, 2], ['https://www.cfcindia.org/wftw/the-difference-between-christianity-of-the-head-and-christianity-of-the-heart', 8.31708009932945, 4], ['https://www.cfcindia.org/wftw/building-the-church-involves-sacrifice', 4.210141285163064, 11], ['https://www.cfcindia.org/wftw/building-the-church-involves-sacrifice', 3.9136460296335485, 11], ['https://www.cfcindia.org/wftw/do-not-trust-in-your-own-righteousness', 7.880953861260441, 6], ['https://www.cfcindia.org/wftw/judgment-is-coming-upon-the-leaders-first', 14.207536310596202, 1], ['https://www.cfcindia.org/wftw/a-small-sin-and-a-great-sin', 8.142419458662674, 1], ['https://www.cfcindia.org/wftw/serving-the-lord-without-personal-gain', 11.131415755574906, 3], ['https://www.cfcindia.org/wftw/spirit-of-sacrifice', 12.139062651570638, 16], ['https://www.cfcindia.org/wftw/freedom-from-selfishness', 15.225452193351073, 1]]"
charge,"[['https://www.cfcindia.org/wftw/election-and-justification', 7.966936238576326, 1]]"
isaac,"[['https://www.cfcindia.org/wftw/our-thought-life-and-devotion-to-christ', 7.895479973897404, 2], ['https://www.cfcindia.org/wftw/build-your-home-as-a-sanctuary-for-god', 8.312216470165973, 1], ['https://www.cfcindia.org/wftw/the-significance-of-a-second-encounter-with-god', 8.646166041965527, 1], ['https://www.cfcindia.org/wftw/one-uncompromising-man', 8.520921738876174, 1], ['https://www.cfcindia.org/wftw/love-for-christ-is-the-real-test-of-any-mans-spirituality', 8.268401543093269, 3], ['https://www.cfcindia.org/wftw/now-i-know-that-you-fear-me-0', 7.856724860977987, 7], ['https://www.cfcindia.org/wftw/a-marriage-ordained-by-god', 7.855144395165079, 6], ['https://www.cfcindia.org/wftw/if-god-has-called-you-to-be-in-canaan-dont-move-to-egypt', 8.278658519674275, 1], ['https://www.cfcindia.org/wftw/repent-from-living-for-yourself', 7.706814846690901, 7], ['https://www.cfcindia.org/wftw/preserve-your-devotion-to-jesus-at-any-cost', 7.9174462291291166, 1], ['https://www.cfcindia.org/wftw/what-type-of-relationship-do-you-have-with-the-lord', 8.737641368261059, 1], ['https://www.cfcindia.org/wftw/the-danger-of-using-our-human-reasoning-in-gods-work', 7.473992360867188, 1], ['https://www.cfcindia.org/wftw/don%E2%80%99t-miss-god%E2%80%99s-will-in-your-marriage', 7.0595107597369395, 5], ['https://www.cfcindia.org/wftw/the-principle-of-sacrifice', 8.383729408959518, 3], ['https://www.cfcindia.org/wftw/power-with-god-and-power-with-men-0', 8.08895544703266, 3], ['https://www.cfcindia.org/wftw/a-wise-man-learns-from-the-mistakes-of-others', 5.509330548154607, 33], ['https://www.cfcindia.org/wftw/power-with-god-and-power-with-men', 7.1706445844965465, 3], ['https://www.cfcindia.org/wftw/the-name-of-jesus', 9.54269820696921, 1], ['https://www.cfcindia.org/wftw/test-of-our-spirituality', 8.162788920855212, 3], ['https://www.cfcindia.org/wftw/the-true-meaning-of-amen', 8.191128159222593, 1], ['https://www.cfcindia.org/wftw/rehoboth-the-lord-has-made-room-for-us', 11.000792238848184, 17], ['https://www.cfcindia.org/wftw/rehoboth-the-lord-has-made-room-for-us', 5.9549395746820535, 17], ['https://www.cfcindia.org/wftw/rehoboth-the-lord-has-made-room-for-us', 15.507422428342347, 17], ['https://www.cfcindia.org/wftw/gods-sovereignty-0', 8.767227827294356, 3], ['https://www.cfcindia.org/wftw/true-worship-involves-obedience-and-sacrifice', 7.015678446275563, 17], ['https://www.cfcindia.org/wftw/spirit-of-sacrifice', 7.650061482546255, 3], ['https://www.cfcindia.org/wftw/the-real-test-of-our-spirituality', 8.001239492519739, 3], ['https://www.cfcindia.org/wftw/abraham-at-mount-moriah', 9.866174589756001, 3], ['https://www.cfcindia.org/wftw/jacob-a-broken-man', 8.457523826651206, 1], ['https://www.cfcindia.org/wftw/mans-extremity-gods-opportunity', 8.83395848804473, 7], ['https://www.cfcindia.org/wftw/gods-sovereignty', 8.235712290979622, 3], ['https://www.cfcindia.org/wftw/that-which-costs-us-everything', 6.977648084349442, 6], ['https://www.cfcindia.org/article/spiritual-dangers-when-we-are-blessed', 8.562449171808225, 1]]"
elect,"[['https://www.cfcindia.org/wftw/election-and-justification', 7.966936238576318, 8]]"
mile,"[['https://www.cfcindia.org/wftw/a-new-attitude-of-mind-giving-our-maximum-to-the-lord', 7.596801850067032, 2], ['https://www.cfcindia.org/wftw/what-can-the-lord-get-out-of-the-one-earthly-life-that-i-have', 12.349209727388716, 2]]"
lovers,"[['https://www.cfcindia.org/wftw/god-delights-in-honesty-cheerful-giving-and-detests-what-the-world-considers-great', 9.184378579566266, 1], ['https://www.cfcindia.org/wftw/three-challenging-and-comforting-thoughts', 9.084588328420905, 1]]"
capacity,"[['https://www.cfcindia.org/wftw/a-testimony-to-satan-and-his-hosts', 7.926212607196986, 1]]"
timothy,"[['https://www.cfcindia.org/wftw/working-together-despite-differences', 9.56451381849625, 2], ['https://www.cfcindia.org/wftw/characteristics-of-spiritfilled-service', 9.264585878872836, 1], ['https://www.cfcindia.org/wftw/three-valuable-exhortations', 8.878649321898623, 6], ['https://www.cfcindia.org/wftw/freedom-from-fear-1', 9.513040342599236, 1], ['https://www.cfcindia.org/wftw/four-precious-truths', 9.51440497595001, 1], ['https://www.cfcindia.org/wftw/be-an-example-by-your-life', 7.329537250352224, 13], ['https://www.cfcindia.org/wftw/preparing-another-generation-of-leaders-shepherds', 7.665202500077564, 15], ['https://www.cfcindia.org/wftw/how-god-prepares-a-man-for-the-ministry', 9.89118596174823, 5], ['https://www.cfcindia.org/wftw/how-god-prepares-a-man-for-the-ministry', 9.241349853542703, 5], ['https://www.cfcindia.org/wftw/do-you-accuse-or-do-you-intercede', 8.98026902464189, 1], ['https://www.cfcindia.org/wftw/learn-to-look-at-things-from-god%E2%80%99s-point-of-view', 9.721003137798187, 1], ['https://www.cfcindia.org/wftw/learn-to-fade-graciously-into-the-background', 8.71281008752772, 2], ['https://www.cfcindia.org/wftw/moses-manifested-the-spirit-of-christ', 9.622789057921098, 1], ['https://www.cfcindia.org/wftw/a-warning-from-the-five-backslidden-messengers-and-churches', 9.600425288102226, 2], ['https://www.cfcindia.org/wftw/the-glorious-calling-of-women-as-mothers', 7.487929772801444, 7], ['https://www.cfcindia.org/wftw/clear-your-debt-to-the-whole-world-and-to-the-church', 10.159584828846855, 1], ['https://www.cfcindia.org/wftw/be-a-servant-always-till-the-end-of-your-earthly-days', 9.845466357972803, 1], ['https://www.cfcindia.org/wftw/be-a-servant-always-till-the-end-of-your-earthly-days', 10.345290287051665, 1], ['https://www.cfcindia.org/wftw/seek-to-have-largeness-of-heart', 9.288765546885273, 1], ['https://www.cfcindia.org/wftw/god-tests-us-in-the-ordinary-things-of-life', 8.607729844531574, 4], ['https://www.cfcindia.org/wftw/two-blessed-attitudes-of-mind', 9.74372603346759, 1], ['https://www.cfcindia.org/wftw/importance-of-the-gift-of-prophecy', 9.656033202226569, 1], ['https://www.cfcindia.org/wftw/unity-in-diversity', 9.489543647473539, 3], ['https://www.cfcindia.org/wftw/fulfilling-our-calling-0', 12.222430334702333, 1], ['https://www.cfcindia.org/wftw/a-warning-from-the-examples-of-5-messengers-and-churches', 9.779410615071274, 2], ['https://www.cfcindia.org/wftw/spiritfilled-service', 10.491524954449341, 1], ['https://www.cfcindia.org/wftw/fighting-the-good-fight', 9.316137013253844, 2], ['https://www.cfcindia.org/wftw/hindering-younger-workers', 9.002807591576815, 2], ['https://www.cfcindia.org/wftw/shepherds-and-hirelings', 13.549518360258379, 1], ['https://www.cfcindia.org/wftw/fulfilling-our-calling', 12.22243033470233, 1], ['https://www.cfcindia.org/article/disagreements-in-the-church', 9.113941548246725, 1]]"
dew,"[['https://www.cfcindia.org/wftw/people-go-astray-when-leaders-go-astray', 7.833134119650504, 2]]"
philosophers,"[['https://www.cfcindia.org/wftw/look-at-things-from-gods-point-of-view', 6.624898502265198, 1]]"
hurry,"[['https://www.cfcindia.org/wftw/now-i-know-that-you-fear-me-0', 8.682403646626225, 1], ['https://www.cfcindia.org/wftw/living-in-the-will-of-god-0', 8.975534260099378, 1], ['https://www.cfcindia.org/wftw/living-in-the-will-of-god', 8.82449960213425, 1]]"
hollowness,"[['https://www.cfcindia.org/wftw/true-praise-comes-from-a-crucified-life', 10.97695808420424, 2]]"
sham,"[['https://www.cfcindia.org/wftw/let-your-ambition-be-to-please-god', 9.485348172493064, 1]]"
contrast,"[['https://www.cfcindia.org/wftw/a-virtuous-woman', 11.316591563347142, 1]]"
routine,"[['https://www.cfcindia.org/wftw/three-levels-of-living-the-christian-life', 11.194891538978409, 1]]"
moses,"[['https://www.cfcindia.org/wftw/the-power-of-repetition', 10.518512166203523, 1], ['https://www.cfcindia.org/wftw/god-values-brokenness', 8.597210190975554, 10], ['https://www.cfcindia.org/wftw/allowing-god-to-break-us', 9.08103949598464, 8], ['https://www.cfcindia.org/wftw/three-steps-to-spiritual-maturity', 10.067196646403977, 2], ['https://www.cfcindia.org/wftw/be-heavenly-minded', 10.986303842693337, 3], ['https://www.cfcindia.org/wftw/some-steps-to-the-abundant-life', 10.371270491405575, 1], ['https://www.cfcindia.org/wftw/calvary-always-precedes-pentecost', 8.486708666793046, 9], ['https://www.cfcindia.org/wftw/the-holy-spirit-transforms-us-from-glory-to-glory', 9.871693624822823, 4], ['https://www.cfcindia.org/wftw/one-uncompromising-man', 9.657750745637548, 1], ['https://www.cfcindia.org/wftw/qualifications-for-leadership', 9.26815155887907, 3], ['https://www.cfcindia.org/wftw/jealousy-covetousness-and-rebellion', 10.498605978652025, 3], ['https://www.cfcindia.org/wftw/the-danger-of-using-our-human-reasoning-in-gods-work', 9.488229529536378, 6], ['https://www.cfcindia.org/wftw/three-signs-god-gave-to-moses', 8.411580908751741, 12], ['https://www.cfcindia.org/wftw/moses-manifested-the-spirit-of-christ', 3.241374748266494, 19], ['https://www.cfcindia.org/wftw/overcoming-satan-through-praise', 10.607641640766593, 1], ['https://www.cfcindia.org/wftw/jesus-has-done-all-things-well', 6.778402388448101, 6], ['https://www.cfcindia.org/wftw/god-is-dependent-on-broken-men-for-his-work-on-earth', 6.662263894525541, 19], ['https://www.cfcindia.org/wftw/god-is-dependent-on-broken-men-for-his-work-on-earth', 6.857655184711125, 19], ['https://www.cfcindia.org/wftw/god-turns-the-table-on-satan-0', 0, 4], ['https://www.cfcindia.org/wftw/god-looks-for-faithfulness-in-little-things-0', 10.14066318239985, 1], ['https://www.cfcindia.org/wftw/clear-your-debt-to-the-whole-world-and-to-the-church', 10.19605744698194, 1], ['https://www.cfcindia.org/wftw/be-a-servant-always-till-the-end-of-your-earthly-days', 9.218955298179498, 1], ['https://www.cfcindia.org/wftw/be-a-servant-always-till-the-end-of-your-earthly-days', 9.562821537516415, 1], ['https://www.cfcindia.org/wftw/do-not-come-short-of-the-grace-of-god', 9.738448360379985, 1], ['https://www.cfcindia.org/wftw/submit-to-gods-training', 9.153122916479889, 10], ['https://www.cfcindia.org/wftw/power-with-god-and-power-with-men-0', 14.311911797694513, 1], ['https://www.cfcindia.org/wftw/days-of-heaven-upon-earth-during-the-year-2010', 10.3539910459923, 1], ['https://www.cfcindia.org/wftw/wisdom-discernment-and-experience-make-a-good-leader', 10.013433650403908, 3], ['https://www.cfcindia.org/wftw/power-with-god-and-power-with-men', 9.487006027636841, 1], ['https://www.cfcindia.org/wftw/trust-god-in-faith-during-times-of-opposition', 6.095018652824489, 9], ['https://www.cfcindia.org/wftw/the-holy-spirit-can-minister-to-all-your-needs', 9.746284250641198, 1], ['https://www.cfcindia.org/wftw/all-of-gods-commandments-are-for-our-good', 10.626990363300752, 1], ['https://www.cfcindia.org/wftw/learn-to-value-divine-wisdom', 7.593998361916628, 13], ['https://www.cfcindia.org/wftw/building-gods-house-with-wisdom', 9.899961164064958, 2], ['https://www.cfcindia.org/wftw/a-bossy-attitude', 8.98464711020489, 4], ['https://www.cfcindia.org/wftw/spiritual-wealth-and-victory', 9.938676096093573, 3], ['https://www.cfcindia.org/wftw/the-power-of-humble-service-and-music', 10.406034665152342, 1], ['https://www.cfcindia.org/wftw/the-jar-of-oil', 10.578298476698118, 1], ['https://www.cfcindia.org/wftw/examples-of-three-faithful-men', 7.603498209142949, 7], ['https://www.cfcindia.org/wftw/the-risen-lord', 9.377853794527711, 2], ['https://www.cfcindia.org/wftw/the-pathway-of-increasing-light', 10.83126085703556, 1], ['https://www.cfcindia.org/wftw/the-glory-of-god-is-his-goodness', 9.471017032654595, 1], ['https://www.cfcindia.org/wftw/faithfulness-of-moses', 3.09165318316248, 27], ['https://www.cfcindia.org/wftw/the-testing-of-moses', 2.7604425581945624, 17], ['https://www.cfcindia.org/wftw/reaction-to-criticism-and-opposition', 9.255376949082715, 9], ['https://www.cfcindia.org/wftw/gods-servants-have-to-be-broken', 6.591194888220768, 15], ['https://www.cfcindia.org/wftw/the-influence-of-one-man-noah-joshua', 10.1359737782406, 2], ['https://www.cfcindia.org/wftw/we-do-not-struggle-against-flesh-and-blood', 10.892178356622258, 1]]"
woman,"[['https://www.cfcindia.org/wftw/faith-and-confidence-in-god', 11.156757566946833, 1], ['https://www.cfcindia.org/wftw/god-honoured-phinehas-for-his-zeal', 11.825680163694472, 2], ['https://www.cfcindia.org/wftw/the-second-coming-of-christ', 12.343171773339925, 2], ['https://www.cfcindia.org/wftw/treasures-from-three-parables-of-jesus-luke-15', 11.096556534599978, 3], ['https://www.cfcindia.org/wftw/jesus-came-to-save-the-worst-of-sinners', 10.712809126442167, 6], ['https://www.cfcindia.org/wftw/christs-return-in-the-clouds', 12.28873852968689, 2], ['https://www.cfcindia.org/wftw/show-mercy-out-of-gratitude', 10.691252663058766, 3], ['https://www.cfcindia.org/wftw/the-fear-of-the-lord', 11.88325698827989, 2], ['https://www.cfcindia.org/wftw/an-example-of-a-godly-woman-with-faith', 9.662186962911532, 6], ['https://www.cfcindia.org/wftw/characteristics-of-a-virtuous-wife', 8.57194136762995, 10], ['https://www.cfcindia.org/wftw/a-warning-from-the-five-backslidden-messengers-and-churches', 12.126403307105457, 1], ['https://www.cfcindia.org/wftw/disciplining-our-bodily-passions', 8.812859098476524, 5], ['https://www.cfcindia.org/wftw/seek-to-have-largeness-of-heart', 10.28294494953054, 7], ['https://www.cfcindia.org/wftw/serving-the-lord-with-joy', 10.912031260904522, 1], ['https://www.cfcindia.org/wftw/god-is-silently-planning-for-you-in-love', 11.61344887994275, 1], ['https://www.cfcindia.org/wftw/learning-not-to-despise-people', 11.906796423655965, 1], ['https://www.cfcindia.org/wftw/worldly-teaching-should-not-be-tolerated', 10.802049882459924, 3], ['https://www.cfcindia.org/wftw/the-holy-spirit-can-minister-to-all-your-needs', 10.839280244534034, 1], ['https://www.cfcindia.org/wftw/a-holy-man-of-god', 11.32193911355113, 3], ['https://www.cfcindia.org/wftw/women-leaders', 10.080379585918765, 8], ['https://www.cfcindia.org/wftw/gods-care-for-a-young-woman-in-distress', 11.444529581693526, 5], ['https://www.cfcindia.org/wftw/the-jar-of-oil', 11.526394023412145, 1], ['https://www.cfcindia.org/wftw/a-warning-from-the-examples-of-5-messengers-and-churches', 12.00298520420544, 1], ['https://www.cfcindia.org/wftw/gods-unchanging-love', 11.677474355752901, 1], ['https://www.cfcindia.org/wftw/the-new-wine', 11.235115738412004, 2], ['https://www.cfcindia.org/wftw/glory-of-god', 16.26450367261019, 2], ['https://www.cfcindia.org/wftw/are-you-a-coworker-with-satan-or-with-the-lord-jesus', 11.502875886141716, 2], ['https://www.cfcindia.org/wftw/new-covenant-ministry', 8.585649134435075, 1], ['https://www.cfcindia.org/wftw/arresting-the-downward-trend', 12.336110965874628, 1], ['https://www.cfcindia.org/article/headcovering-for-women', 11.271564774590889, 18], ['https://www.cfcindia.org/article/god-needs-women', 10.21440935447876, 28]]"
good,"[['https://www.cfcindia.org/wftw/being-ready-for-the-coming-of-the-lord-0', 16.5428692448437, 4], ['https://www.cfcindia.org/wftw/the-church-will-face-tribulation', 8.835595055840347, 3], ['https://www.cfcindia.org/wftw/an-adequate-response-to-god', 7.145811215397267, 6], ['https://www.cfcindia.org/wftw/keep-the-lord-in-front-of-you-at-all-times', 9.425545758080306, 1], ['https://www.cfcindia.org/wftw/be-occupied-with-the-riches-of-gods-grace', 7.5994729444167515, 2], ['https://www.cfcindia.org/wftw/praising-god-for-everything', 8.680112171768354, 2], ['https://www.cfcindia.org/wftw/following-jesus-in-three-specific-areas', 8.64972247578558, 2], ['https://www.cfcindia.org/wftw/begin-the-new-year-in-faith', 9.016058043434953, 2], ['https://www.cfcindia.org/wftw/three-things-jesus-did-for-us-on-the-cross', 9.235020503368027, 2], ['https://www.cfcindia.org/wftw/the-body-of-christ', 8.988371324296777, 2], ['https://www.cfcindia.org/wftw/some-steps-to-the-abundant-life', 8.671268306221277, 1], ['https://www.cfcindia.org/wftw/characteristics-of-spiritfilled-service', 9.11016400435009, 1], ['https://www.cfcindia.org/wftw/a-balanced-christian-life', 9.439339632685853, 5], ['https://www.cfcindia.org/wftw/five-sins-that-jesus-hated-the-most', 9.212115826155882, 2], ['https://www.cfcindia.org/wftw/god-has-a-purpose-in-every-trial', 8.53996299784713, 3], ['https://www.cfcindia.org/wftw/calvary-always-precedes-pentecost', 9.13674629930523, 1], ['https://www.cfcindia.org/wftw/we-overcome-by-the-word-of-our-testimony', 8.47536696256422, 5], ['https://www.cfcindia.org/wftw/gentleness-and-goodness-of-jesus', 8.896435181217925, 9], ['https://www.cfcindia.org/wftw/blessings-from-imprisonment', 7.387643366474639, 7], ['https://www.cfcindia.org/wftw/busyness-satans-evil-scheme', 15.00048797022617, 2], ['https://www.cfcindia.org/wftw/following-jesus-example-in-the-new-year', 8.417767136906802, 1], ['https://www.cfcindia.org/wftw/sin-is-coming-short-of-the-glory-of-god', 9.981212164495037, 1], ['https://www.cfcindia.org/wftw/appreciation-and-encouragement', 7.189534283072025, 1], ['https://www.cfcindia.org/wftw/do-you-accuse-or-do-you-intercede', 8.66742219207923, 4], ['https://www.cfcindia.org/wftw/two-powerful-truths', 6.899189778413856, 9], ['https://www.cfcindia.org/wftw/two-powerful-truths', 16.5428692448437, 9], ['https://www.cfcindia.org/wftw/show-mercy-out-of-gratitude', 8.685169038836829, 1], ['https://www.cfcindia.org/wftw/some-wonderful-truths-for-the-new-year-2016', 6.474241456920245, 6], ['https://www.cfcindia.org/wftw/some-wonderful-truths-for-the-new-year-2016', 9.33143667132174, 6], ['https://www.cfcindia.org/wftw/grace-makes-us-one', 13.709944009298791, 5], ['https://www.cfcindia.org/wftw/don%E2%80%99t-miss-god%E2%80%99s-will-in-your-marriage', 10.438607215075702, 2], ['https://www.cfcindia.org/wftw/don%E2%80%99t-miss-god%E2%80%99s-will-in-your-marriage', 8.84567881954705, 2], ['https://www.cfcindia.org/wftw/the-danger-of-depending-on-human-wisdom', 7.716460513266978, 3], ['https://www.cfcindia.org/wftw/the-danger-of-depending-on-human-wisdom', 9.151348729777215, 3], ['https://www.cfcindia.org/wftw/look-forward-to-a-wonderful-year-in-christ', 8.782529371238683, 1], ['https://www.cfcindia.org/wftw/the-judgment-of-babylon', 9.060134876719085, 2], ['https://www.cfcindia.org/wftw/mercy-is-a-very-important-antidote-to-pharisaism', 8.898687915811946, 3], ['https://www.cfcindia.org/wftw/seven-great-qualities-of-david', 9.984408287891736, 2], ['https://www.cfcindia.org/wftw/watch-your-attitude-to-your-fellow-believers-in-need', 10.542393989038112, 2], ['https://www.cfcindia.org/wftw/an-exciting-life-in-the-new-year', 9.326910709715404, 2], ['https://www.cfcindia.org/wftw/jobs-high-standard-of-life', 8.946735259631629, 3], ['https://www.cfcindia.org/wftw/josephs-faith-in-the-sovereignty-of-god', 7.654836270721248, 2], ['https://www.cfcindia.org/wftw/having-an-intimate-relationship-with-the-lord', 9.122863554659249, 1], ['https://www.cfcindia.org/wftw/worldly-teaching-should-not-be-tolerated', 8.612241895957178, 3], ['https://www.cfcindia.org/wftw/four-hallelujahs', 9.386591880996615, 2], ['https://www.cfcindia.org/wftw/true-praise-comes-from-a-crucified-life', 9.48967714130121, 1], ['https://www.cfcindia.org/wftw/a-glorious-ministry-for-every-believer', 9.132755779474067, 4], ['https://www.cfcindia.org/wftw/demonstrating-true-spiritual-authority', 9.122801958095616, 1], ['https://www.cfcindia.org/wftw/self-centredness-leads-to-spiritual-death', 8.32383387841569, 4], ['https://www.cfcindia.org/wftw/encouragement-and-admonition-are-two-of-the-chief-ministries-of-the-holy-spirit', 8.575047717960647, 3], ['https://www.cfcindia.org/wftw/three-challenging-and-comforting-thoughts', 16.5428692448437, 10], ['https://www.cfcindia.org/wftw/three-challenging-and-comforting-thoughts', 8.859809000713948, 10], ['https://www.cfcindia.org/wftw/three-challenging-and-comforting-thoughts', 6.6712406839999305, 10], ['https://www.cfcindia.org/wftw/all-of-gods-commandments-are-for-our-good', 9.625675384726854, 2], ['https://www.cfcindia.org/wftw/all-of-gods-commandments-are-for-our-good', 13.084236890208988, 2], ['https://www.cfcindia.org/wftw/all-of-gods-commandments-are-for-our-good', 12.220381584088477, 2], ['https://www.cfcindia.org/wftw/i-believe-therefore-i-confess', 7.479958187427569, 2], ['https://www.cfcindia.org/wftw/divine-wisdom-and-human-wisdom', 9.263786685323751, 3], ['https://www.cfcindia.org/wftw/a-message-of-hope-for-all-the-married-couples', 8.809178883370487, 2], ['https://www.cfcindia.org/wftw/jesus-tempted-as-we-are-2', 8.611891670118172, 2], ['https://www.cfcindia.org/wftw/overcoming-the-opposition-from-the-enemy', 8.880456002344758, 1], ['https://www.cfcindia.org/wftw/god-has-a-diary-in-heaven-for-you', 9.14459821966202, 1], ['https://www.cfcindia.org/wftw/confidence-in-gods-love', 7.073772343317656, 5], ['https://www.cfcindia.org/wftw/be-rooted-and-grounded-in-what-god-has-done-for-us-in-christ', 8.83528569776965, 1], ['https://www.cfcindia.org/wftw/the-glory-of-jesus-in-his-speech', 8.427003756372129, 3], ['https://www.cfcindia.org/wftw/obedience-sufferingpart-of-our-syllabus-in-spiritual-education', 13.084236890208988, 2], ['https://www.cfcindia.org/wftw/obedience-sufferingpart-of-our-syllabus-in-spiritual-education', 9.153617869919307, 2], ['https://www.cfcindia.org/wftw/contrast-between-a-true-spiritual-father-and-a-teacher', 9.152768929084338, 5], ['https://www.cfcindia.org/wftw/encouraging-others-0', 7.535055042725225, 3], ['https://www.cfcindia.org/wftw/ministry-of-intercession', 7.725754424384236, 4], ['https://www.cfcindia.org/wftw/gods-guidance-through-circumstances-of-life', 8.09065513204357, 3], ['https://www.cfcindia.org/wftw/the-glory-of-god-is-his-goodness', 6.850167848936146, 22], ['https://www.cfcindia.org/wftw/six-aspects-of-the-grace-of-god-0', 9.057267269598086, 8], ['https://www.cfcindia.org/wftw/three-certainties-0', 7.42406889998363, 6], ['https://www.cfcindia.org/wftw/being-ready-for-the-coming-of-the-lord', 9.159998917575063, 4], ['https://www.cfcindia.org/wftw/the-anointing-of-the-holy-spirit-example-of-jesus', 14.086042763870761, 3], ['https://www.cfcindia.org/wftw/giving-to-god-and-giving-to-the-poor', 7.404118605306335, 1], ['https://www.cfcindia.org/wftw/faithfulness-in-serving-our-fellow-believers-0', 8.080849803308498, 2], ['https://www.cfcindia.org/wftw/the-life-and-ministry-of-jesus', 14.086042763870761, 3], ['https://www.cfcindia.org/wftw/perfect-security', 10.521509227438784, 2], ['https://www.cfcindia.org/wftw/perfect-security', 7.4297236739483505, 2], ['https://www.cfcindia.org/wftw/gods-dealings-are-all-in-love', 9.53704936628489, 2], ['https://www.cfcindia.org/wftw/gods-dealings-are-all-in-love', 11.778666691033157, 2], ['https://www.cfcindia.org/wftw/nobody-can-harm-us-except-we-ourselves', 6.4316862033139754, 9], ['https://www.cfcindia.org/wftw/nobody-can-harm-us-except-we-ourselves', 16.5428692448437, 9], ['https://www.cfcindia.org/wftw/nobody-can-harm-us-except-we-ourselves', 9.759736506279443, 9], ['https://www.cfcindia.org/wftw/in-christ', 9.61510828075899, 1], ['https://www.cfcindia.org/wftw/three-marks-of-a-spiritual-man', 9.528868687204893, 6], ['https://www.cfcindia.org/article/two-types-of-sins-two-types-of-blessings', 9.021744217426438, 3], ['https://www.cfcindia.org/article/the-meaning-of-the-tabernacle', 8.68868942131843, 4], ['https://www.cfcindia.org/article/some-important-truths-that-i-have-learnt', 8.498659588557246, 10], ['https://www.cfcindia.org/article/hymns-written-by-zac-poonen', 9.3365312293739, 3], ['https://www.cfcindia.org/article/five-sins-that-jesus-hated-most', 8.707620587600028, 3], ['https://www.cfcindia.org/article/dead-works', 8.548237015492035, 14], ['https://www.cfcindia.org/article/dead-works', 11.276462384811293, 14], ['https://www.cfcindia.org/article/a-clear-gospel-message', 8.748810670169973, 16], ['https://www.cfcindia.org/article/the-baptism-in-the-holy-spirit', 9.831370609601159, 1]]"
